subject	session	TrialNumber	image_path	condition	image_nr	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_image_nr	things_exemplar_nr	subcondition	repetition	run	onset	duration	response_mapping_flip_h	response_mapping_flip_v	onset_flip	offset_flip	keypresses	response	response_txt	error	response_confidence	response_time	duration_flip	ran	order	session_trial_time	atypical	atypical_log	exclude_session	delay_days	delay_seconds	trials_since_lastrep
06	ses-027	1	images_fmri/tie/tie_01b.jpg	seen	7705	643	1	None	1659.0	23414.0	1.0	seen-between-within	3	5	3.0	2.98	False	False	3.0023718409938738	5.984246877982514	[['x', 4.655239774001529]]	2.0	seen	False	True	1.6552397740015294	2.98187503698864	1.0	0.0	156738.6746	False		False	0.0	977.3452000000107	143.0
06	ses-027	2	images_fmri/clay/clay_01b.jpg	seen	1789	150	1	None	353.0	5101.0	1.0	seen-within	2	5	7.47	2.98	False	True	7.466471863997867	10.45246440099436	[['b', 8.550340927002253]]	2.0	seen	False	True	1.0803409270022533	2.9859925369964917	1.0	1.0	156743.1387	False		False	0.0	667.3514000000141	100.0
06	ses-027	3	images_fmri/hotdog/hotdog_01b.jpg	seen	3841	321	1	None	806.0	11525.0	1.0	seen-between	2	5	11.94	2.98	False	True	11.933054536988491	14.917515285982518	[['b', 13.42933706898475]]	2.0	seen	False	True	1.4893370689847512	2.9844607489940245	1.0	2.0	156747.6053	False		False	7.0	0.0	270.0
06	ses-027	4	images_fmri/wheat/wheat_01b.jpg	seen	8413	702	1	None	1806.0	25440.0	1.0	seen-between	2	5	16.41	2.98	True	False	16.40113561297767	19.386967860977165	[['x', 17.60718481100048]]	2.0	seen	False	True	1.1971848110004792	2.9858322479994968	1.0	3.0	156752.0734	False		False	7.0	0.0	378.0
06	ses-027	5	images_fmri/meatball/meatball_01b.jpg	seen	4729	395	1	None	990.0	14096.0	1.0	seen-between-within	3	5	20.88	2.98	True	True	20.88547026697779	23.8503498499922	[['b', 22.12819253798807]]	2.0	seen	False	True	1.2481925379880714	2.964879583014408	1.0	4.0	156756.5577	False		False	0.0	1506.4507000000158	236.0
06	ses-027	6	images_fmri/soda_fountain/soda_fountain_01s.jpg	seen	6949	580	1	None	1492.0	21113.0	1.0	seen-between-within	3	5	25.35	2.98	False	False	25.352776465995703	28.33511202299269	[['x', 26.300193473987747]]	2.0	seen	False	True	0.9501934739877456	2.9823355569969863	1.0	5.0	156761.0250	False		False	0.0	752.2844999999797	119.0
06	ses-027	7	images_fmri/crown/crown_01b.jpg	unseen	2233	187	1	None	449.0	6495.0	1.0	unseen-between	1	5	29.82	2.98	True	False	29.819151791976765	32.79936083097709	[['a', 32.45564218299114]]	-2.0	unseen	False	True	2.635642182991141	2.9802090390003286	1.0	6.0	156765.4914	False		False			
06	ses-027	8	images_fmri/backpack/backpack_01b.jpg	seen	277	24	1	None	50.0	709.0	1.0	seen-between-within	3	5	34.29	2.98	True	True	34.283440434985096	37.26693610698567	[['b', 35.58993259398267]]	2.0	seen	False	True	1.2999325939826676	2.983495672000572	1.0	7.0	156769.9557	False		False	0.0	308.6612999999779	45.0
06	ses-027	9	images_fmri/mousse/mousse_01b.jpg	unseen	4957	414	1	None	1031.0	14697.0	1.0	unseen-within	1	5	38.76	2.98	False	False	38.751950246980414	41.73347618497792	[['a', 41.303845436981646]]	1.0	seen	True	False	2.5438454369816483	2.981525937997503	1.0	8.0	156774.4242	False		False			
06	ses-027	10	images_fmri/pineapple/pineapple_01b.jpg	seen	5617	469	1	None	1183.0	16829.0	1.0	seen-within-between	3	5	43.23	2.98	False	False	43.23678766397643	46.19842643800075	[['x', 44.19370263698511]]	2.0	seen	False	True	0.9637026369851114	2.961638774024322	1.0	9.0	156778.9090	False		False	7.0	0.0	370.0
06	ses-027	11	images_fmri/tiramisu/tiramisu_01b.jpg	seen	7729	645	1	None	1664.0	23480.0	1.0	seen-within	2	5	47.7	2.98	False	False	47.70076062399312	50.6853529389773	[['x', 48.4917358099774]]	2.0	seen	False	True	0.7917358099773963	2.984592314984184	1.0	10.0	156783.3730	False		False	0.0	174.56049999999232	15.0
06	ses-027	12	images_fmri/cupcake/cupcake_01b.jpg	unseen	2305	193	1	None	462.0	6688.0	1.0	unseen-between	1	5	52.17	2.98	False	True	52.16948468697956	55.14908787800232	[['y', 54.80311247598729]]	-2.0	unseen	False	True	2.6331124759872893	2.979603191022761	1.0	11.0	156787.8417	False		False			
06	ses-027	13	images_fmri/cane/cane_01s.jpg	unseen	1357	114	1	None	259.0	3806.0	1.0	unseen-within	1	5	56.64	2.98	True	False	56.63087584299501	59.61613015297917	[['a', 59.00456063897582]]	-2.0	unseen	False	True	2.364560638975817	2.985254309984157	1.0	12.0	156792.3031	False		False			
06	ses-027	14	images_fmri/bird/bird_01b.jpg	unseen	637	54	1	None	129.0	1971.0	1.0	unseen-between	1	5	61.11	2.98	False	True	61.10280262099696	64.08282956198673	[['y', 63.94907718797913]]	-2.0	unseen	False	True	2.839077187979129	2.9800269409897737	1.0	13.0	156796.7751	False		False			
06	ses-027	15	images_fmri/doll/doll_01b.jpg	seen	2461	206	1	None	500.0	7219.0	1.0	seen-within	2	5	65.58	2.98	False	True	65.58263901699684	68.54936605200055	[['b', 66.47439263897832]]	2.0	seen	False	True	0.8943926389783172	2.9667270350037143	1.0	14.0	156801.2549	False		False	0.0	366.7737999999954	58.0
06	ses-027	16	images_fmri/calculator/calculator_01b.jpg	seen	1249	105	1	None	241.0	3571.0	1.0	seen-within	2	5	70.05	2.98	False	True	70.05229826297727	73.03261049897992	[['b', 71.77655430100276]]	2.0	seen	False	True	1.7265543010027642	2.9803122360026464	1.0	15.0	156805.7245	False		False	0.0	1354.4529000000039	202.0
06	ses-027	17	images_fmri/plastic_film/plastic_film_01b.jpg	unseen	5677	474	1	None	1197.0	17012.0	1.0	unseen-within	1	5	74.52	2.98	True	False	74.51870802100166	77.49844844298786	[['x', 77.0777727929817]]	2.0	seen	True	True	2.5577727929817087	2.979740421986208	1.0	16.0	156810.1910	False		False			
06	ses-027	18	images_fmri/lingerie/lingerie_01b.jpg	unseen	4417	369	1	None	933.0	13320.0	1.0	unseen-between	1	5	78.99	2.98	False	True	78.98195683897939	81.96543727300013	[['y', 81.46948965097545]]	-2.0	unseen	False	True	2.4794896509754523	2.9834804340207484	1.0	17.0	156814.6542	False		False			
06	ses-027	19	images_fmri/kebab/kebab_01b.jpg	seen	4093	342	1	None	866.0	12380.0	1.0	seen-within	2	5	83.46	2.98	True	True	83.44899944600184	86.43248766599572	[['b', 84.5996000089799]]	2.0	seen	False	True	1.1396000089799116	2.9834882199938875	1.0	18.0	156819.1213	False		False	0.0	335.4731000000029	51.0
06	ses-027	20	images_fmri/rocking_chair/rocking_chair_01b.jpg	unseen	6337	529	1	None	1322.0	18808.0	1.0	unseen-within	1	5	87.92999999999998	2.98	True	True	87.93423027498648	90.8976715930039	[['a', 90.60231140398537]]	-2.0	unseen	False	True	2.6723114039853897	2.9634413180174306	1.0	19.0	156823.6065	False		False			
06	ses-027	21	images_fmri/seagull/seagull_01b.jpg	seen	6577	549	1	None	1396.0	19823.0	1.0	seen-between-within	3	5	92.4	2.98	True	True	92.39783910498954	95.381414915988	[['b', 93.33149459099513]]	2.0	seen	False	True	0.9314945909951292	2.9835758109984454	1.0	20.0	156828.0701	False		False	0.0	317.5898000000161	47.0
06	ses-027	22	images_fmri/razor/razor_01b.jpg	unseen	6169	515	1	None	1291.0	18370.0	1.0	unseen-within	1	5	96.87	2.98	False	True	96.86722853998072	99.84853690399903	[['y', 99.25245143499342]]	-2.0	unseen	False	True	2.3824514349934134	2.981308364018332	1.0	21.0	156832.5395	False		False			
06	ses-027	23	images_fmri/iron/iron_01b.jpg	seen	3949	330	1	None	833.0	11904.0	1.0	seen-between	2	5	101.34	2.98	False	True	101.33183962097974	104.3153906109801	[['y', 103.86343623898574]]	-2.0	unseen	True	True	2.523436238985738	2.983550990000367	1.0	22.0	156837.0041	False		False	7.0	0.0	344.0
06	ses-027	24	images_fmri/wheat/wheat_01b.jpg	seen	8413	702	1	None	1806.0	25440.0	1.0	seen-between-within	3	5	105.81	2.98	True	True	105.8165990439884	108.78423147500143	[['b', 106.69836042798124]]	2.0	seen	False	True	0.8883604279812403	2.967632431013044	1.0	23.0	156841.4888	False		False	0.0	89.41539999999804	20.0
06	ses-027	25	images_fmri/guillotine/guillotine_01b.jpg	unseen	3517	294	1	None	722.0	10354.0	1.0	unseen-within	1	5	110.28	2.98	False	False	110.28372290197876	113.265995284979	[['y', 113.30318994598929]]	-2.0	unseen	False	True	3.0231899459892877	2.982272383000236	1.0	24.0	156845.9560	False		False			
